#{"t_start": 1771512941.086453, "env_id": "None"}
r,l,t
0.3,26,361.816912
1.38,26,717.250555
3.266667,19,1011.312091
1.1,26,1382.018552
0.5,26,1697.497603
0.3,26,2024.385626
4.073333,18,2297.22087
-0.22,26,2629.485102
4.373333,16,2894.670212
0.98,26,3230.377702
1.46,26,3572.493719
4.751667,19,3896.613373
4.111667,24,4328.202436
0.94,26,4695.286748
1.26,26,5041.996074
1.22,26,5427.550388
0.82,26,5806.703521
1.1,26,6108.312085
0.3,26,6476.689175
3.591667,23,6815.024995
4.49,16,7073.858988
